locus_tag	ftype	length_bp	gene	EC_number	COG	product
LNBKKNJO_00294	CDS	198				hypothetical protein
LNBKKNJO_00295	CDS	1170	Int-Tn			Transposase from transposon Tn916
LNBKKNJO_00296	tRNA	75				tRNA-Phe(gaa)
LNBKKNJO_00297	tRNA	76				tRNA-Asp(gtc)
LNBKKNJO_00298	tRNA	74				tRNA-Glu(ttc)
LNBKKNJO_00299	tRNA	74				tRNA-Lys(ttt)
LNBKKNJO_00300	CDS	813				hypothetical protein
LNBKKNJO_00301	CDS	906		2.1.1.-	COG3315	Putative S-adenosyl-L-methionine-dependent methyltransferase
LNBKKNJO_00302	CDS	501	guaD	3.5.4.3	COG0590	Guanine deaminase
LNBKKNJO_00303	CDS	321	kmtR		COG0640	HTH-type transcriptional regulator KmtR
LNBKKNJO_00304	CDS	204				hypothetical protein
LNBKKNJO_00305	CDS	237				hypothetical protein
LNBKKNJO_00306	CDS	603				hypothetical protein
LNBKKNJO_00307	CDS	642				hypothetical protein
LNBKKNJO_00308	CDS	1017	desA1_2	1.14.19.-		Putative acyl-[acyl-carrier-protein] desaturase DesA1
LNBKKNJO_00309	CDS	1086	dus	1.3.1.-	COG0042	putative tRNA-dihydrouridine synthase
LNBKKNJO_00310	CDS	2217	tagU	2.7.8.-		Polyisoprenyl-teichoic acid--peptidoglycan teichoic acid transferase TagU
LNBKKNJO_00311	CDS	669	phoU2		COG0704	Phosphate-specific transport system accessory protein PhoU 
LNBKKNJO_00312	CDS	777	pstB1	7.3.2.1	COG1117	Phosphate import ATP-binding protein PstB 1
LNBKKNJO_00313	CDS	909	pstA1_1		COG0581	Phosphate transport system permease protein PstA 1
LNBKKNJO_00314	CDS	1032	pstC2_1		COG0573	Phosphate transport system permease protein PstC 2
LNBKKNJO_00315	CDS	1119	pstS3_1		COG0226	Phosphate-binding protein PstS 3
LNBKKNJO_00316	CDS	963	mshD	2.3.1.189	COG0456	Mycothiol acetyltransferase
LNBKKNJO_00317	CDS	765				hypothetical protein
LNBKKNJO_00318	CDS	813				hypothetical protein
LNBKKNJO_00319	CDS	468				hypothetical protein
LNBKKNJO_00320	CDS	843	cysA1	2.8.1.1	COG2897	Putative thiosulfate sulfurtransferase
LNBKKNJO_00321	CDS	351				hypothetical protein
LNBKKNJO_00322	CDS	672				hypothetical protein
LNBKKNJO_00323	CDS	636				hypothetical protein
LNBKKNJO_00324	CDS	1782				hypothetical protein
LNBKKNJO_00325	CDS	933				hypothetical protein
LNBKKNJO_00326	CDS	354	csoR		COG1937	Copper-sensing transcriptional repressor CsoR
LNBKKNJO_00327	CDS	309				putative protein
LNBKKNJO_00328	CDS	561				hypothetical protein
LNBKKNJO_00329	CDS	1785	ctpV_1	7.2.2.8	COG2217	putative copper-exporting P-type ATPase V
LNBKKNJO_00330	CDS	1410	mshA_1	2.4.1.250		D-inositol-3-phosphate glycosyltransferase
LNBKKNJO_00331	CDS	1056				hypothetical protein
LNBKKNJO_00332	CDS	951				hypothetical protein
LNBKKNJO_00333	CDS	1992				hypothetical protein
LNBKKNJO_00334	CDS	702				hypothetical protein
LNBKKNJO_00335	CDS	699				hypothetical protein
LNBKKNJO_00336	CDS	624				hypothetical protein
LNBKKNJO_00337	CDS	759	nadE_1	6.3.5.1		Glutamine-dependent NAD(+) synthetase
LNBKKNJO_00338	CDS	762	COQ3_1	2.1.1.222		Ubiquinone biosynthesis O-methyltransferase, mitochondrial
LNBKKNJO_00339	CDS	1122	pglH	2.4.1.292	COG0438	GalNAc-alpha-(1->4)-GalNAc-alpha-(1->3)-diNAcBac-PP-undecaprenol alpha-1,4-N-acetyl-D-galactosaminyltransferase
LNBKKNJO_00340	CDS	1476				hypothetical protein
LNBKKNJO_00341	CDS	1182				hypothetical protein
LNBKKNJO_00342	CDS	189				hypothetical protein
LNBKKNJO_00343	CDS	825				hypothetical protein
LNBKKNJO_00344	tRNA	74				tRNA-Ala(cgc)
LNBKKNJO_00345	CDS	1179				hypothetical protein
LNBKKNJO_00346	CDS	612	rimJ	2.3.1.267	COG1670	[Ribosomal protein S5]-alanine N-acetyltransferase
LNBKKNJO_00347	CDS	1290	moeA1	2.10.1.1	COG0303	Molybdopterin molybdenumtransferase 1
LNBKKNJO_00348	CDS	918	gtaB	2.7.7.9		UTP--glucose-1-phosphate uridylyltransferase
LNBKKNJO_00349	CDS	594		6.3.3.2	COG0212	5-formyltetrahydrofolate cyclo-ligase
LNBKKNJO_00350	CDS	336				hypothetical protein
LNBKKNJO_00351	CDS	675				hypothetical protein
LNBKKNJO_00352	CDS	456	mscL		COG1970	Large-conductance mechanosensitive channel
LNBKKNJO_00353	CDS	546	moaB		COG0521	Molybdenum cofactor biosynthesis protein B
LNBKKNJO_00354	CDS	1440				hypothetical protein
LNBKKNJO_00355	CDS	1536	mprB	2.7.13.3		Signal transduction histidine-protein kinase/phosphatase MprB
LNBKKNJO_00356	CDS	699	mprA			Response regulator MprA
LNBKKNJO_00357	CDS	174	rpmF			50S ribosomal protein L32
LNBKKNJO_00358	CDS	1713				hypothetical protein
